orid,title,user,space,space_url,judged,points,claims_judged,claims_verified,claims_falsified,claims_toy,claims_zero,created_at,judged_at
oQSqJfJUvJ,Asymmetric Contrastive Objectives for Efficient Phenotypic Screening,bsenst,bsenst/repro-asymmetric-contrastive-objectives-for-efficient-phenotypic-screening,https://huggingface.co/spaces/bsenst/repro-asymmetric-contrastive-objectives-for-efficient-phenotypic-screening,True,1,2,0,0,1,1,,2026-07-27T19:55:00+00:00
MyorUlHKVc,"Seizure-Semiology-Suite($S^3$): A Clinically Multimodal Dataset, Benchmark, and Models for Seizure Semiology Understanding",bsenst,bsenst/repro-seizure-semiology-suite-s-3-a-clinically-multimodal-dataset-benchmark-and-models-for-seizu,https://huggingface.co/spaces/bsenst/repro-seizure-semiology-suite-s-3-a-clinically-multimodal-dataset-benchmark-and-models-for-seizu,True,2,5,1,0,0,4,,2026-07-27T19:53:52+00:00
ujYdUdqWpm,Agentic Framework for Epidemiological Modeling,bsenst,bsenst/repro-agentic-framework-for-epidemiological-modeling,https://huggingface.co/spaces/bsenst/repro-agentic-framework-for-epidemiological-modeling,True,4,5,0,0,4,1,,2026-07-27T19:50:31+00:00
2iFauBXg7Y,BioAgent Bench: An AI Agent Evaluation Suite for Bioinformatics,bsenst,bsenst/repro-bioagent-bench-an-ai-agent-evaluation-suite-for-bioinformatics,https://huggingface.co/spaces/bsenst/repro-bioagent-bench-an-ai-agent-evaluation-suite-for-bioinformatics,True,6,6,3,0,0,3,,2026-07-27T21:55:20+00:00
Ep6EcExLIY,Reinforcement Learning for Tool-Calling Agents in Fast Healthcare Interoperability Resources (FHIR),bsenst,bsenst/repro-reinforcement-learning-for-tool-calling-agents-in-fast-healthcare-interoperability-resourc,https://huggingface.co/spaces/bsenst/repro-reinforcement-learning-for-tool-calling-agents-in-fast-healthcare-interoperability-resourc,True,1,4,0,0,1,3,,2026-07-27T17:33:39+00:00
XEbD5cYpgV,Estimation of Treatment Effects Under Nonstationarity via the Truncated Policy Gradient Estimator,ai-sherpa,ai-sherpa/truncated-policy-gradient-repro,https://huggingface.co/spaces/ai-sherpa/truncated-policy-gradient-repro,True,10,5,5,0,0,0,,2026-07-27T17:19:23+00:00
FXWnvznHMW,Design-Based Anytime-Valid Inference for Randomized Experiments with Delayed Outcomes and Staggered Entry,ai-sherpa,ai-sherpa/ipw-martingale-estimation-error-repro,https://huggingface.co/spaces/ai-sherpa/ipw-martingale-estimation-error-repro,True,10,5,5,0,0,0,,2026-07-27T17:21:08+00:00
emv2qsi3TG,On the Collapse of Generative Paths: A Criterion and Correction for Diffusion Steering,DineshAI,DineshAI/emv2qsi3TG,https://huggingface.co/spaces/DineshAI/emv2qsi3TG,True,8,6,4,0,0,2,,2026-07-28T13:24:32+00:00
ALVnRcngPb,Small Agent Group is the Future of Digital Health,bsenst,bsenst/repro-small-agent-group-is-the-future-of-digital-health,https://huggingface.co/spaces/bsenst/repro-small-agent-group-is-the-future-of-digital-health,True,3,6,0,0,3,3,,2026-07-27T16:25:10+00:00
rEzGzILnVC,Beyond Accuracy: Latent Perturbations for Cognitive-Aware Diagnosis,bsenst,bsenst/repro-beyond-accuracy-latent-perturbations-for-cognitive-aware-diagnosis,https://huggingface.co/spaces/bsenst/repro-beyond-accuracy-latent-perturbations-for-cognitive-aware-diagnosis,True,2,2,0,0,2,0,,2026-07-27T16:16:26+00:00
cX3r7kAqr1,Structured Multi-modal Graph Disentanglement for Psychiatric Diagnosis,bsenst,bsenst/repro-structured-multi-modal-graph-disentanglement-for-psychiatric-diagnosis,https://huggingface.co/spaces/bsenst/repro-structured-multi-modal-graph-disentanglement-for-psychiatric-diagnosis,True,2,2,0,0,2,0,,2026-07-27T16:17:48+00:00
uZerXmyozE,GENEB: Why Genomic Models Are Hard to Compare,ProCreations,ProCreations/repro-geneb-why-genomic-models-are-hard-to-compare,https://huggingface.co/spaces/ProCreations/repro-geneb-why-genomic-models-are-hard-to-compare,True,10,5,4,1,0,0,,2026-07-27T15:13:42+00:00
T4Ibp5vLpE,A hitchhiker's guide to Poisson gradient estimation,imadreamerboy,imadreamerboy/repro-a-hitchhikers-guide-to-poisson-gradient-estimation,https://huggingface.co/spaces/imadreamerboy/repro-a-hitchhikers-guide-to-poisson-gradient-estimation,True,5,5,1,1,1,2,,2026-07-27T15:13:17+00:00
4fX2DEypNL,A$^2$SG: Adaptive and Asymmetric Surrogate Gradients for Training Deep Spiking Neural Networks,nstp,nstp/repro-a-2sg-adaptive-and-asymmetric-surrogate-gradients-for-training-deep-spiking-ne,https://huggingface.co/spaces/nstp/repro-a-2sg-adaptive-and-asymmetric-surrogate-gradients-for-training-deep-spiking-ne,True,4,6,1,1,0,4,,2026-07-27T15:50:06+00:00
WlCYSqjnqS,Coupled Training with Privileged Information and Unlabeled Data,snaykey,snaykey/repro-coupled-privileged-training,https://huggingface.co/spaces/snaykey/repro-coupled-privileged-training,True,7,5,3,0,1,1,,2026-07-27T14:23:37+00:00
3EcT46wsdc,Efficiently Training Time-to-First-Spike Spiking Neural Networks from Scratch,algorise,algorise/repro-efficiently-training-time-to-first-spike-spiking-neural-networks-from-scratch,https://huggingface.co/spaces/algorise/repro-efficiently-training-time-to-first-spike-spiking-neural-networks-from-scratch,True,0,5,0,0,0,5,,2026-07-27T12:35:49+00:00
FCVPVqRLDJ,Evidential Reasoning Advances Interpretable Real-World Disease Screening,Edd16,Edd16/icml2026-FCVPVqRLDJ-repro,https://huggingface.co/spaces/Edd16/icml2026-FCVPVqRLDJ-repro,True,2,6,0,0,2,4,,2026-07-27T09:24:42+00:00
GdqrQ75Gg8,Desirable Effort Fairness and Optimality Trade-offs in Strategic Learning,neonforestmist,neonforestmist/repro-desirable-effort-fairness-optimality-trade-offs,https://huggingface.co/spaces/neonforestmist/repro-desirable-effort-fairness-optimality-trade-offs,True,0,6,0,0,0,6,,2026-07-27T20:10:43+00:00
p1GwEz0pix,Frequentist Consistency of Prior-Data Fitted Networks for Causal Inference,neonforestmist,neonforestmist/repro-frequentist-consistency-prior-data-fitted-networ,https://huggingface.co/spaces/neonforestmist/repro-frequentist-consistency-prior-data-fitted-networ,True,0,6,0,0,0,6,,2026-07-27T20:11:43+00:00
3sx2WRBSSO,"Genome-Factory: A Library for Tuning, Deploying, and Interpreting Genomic Foundation Models",neonforestmist,neonforestmist/repro-genome-factory-library-tuning-deploying-interpre,https://huggingface.co/spaces/neonforestmist/repro-genome-factory-library-tuning-deploying-interpre,True,0,6,0,0,0,6,,2026-07-27T20:12:04+00:00
Xg12D1Y4H1,Scalable Bayesian Inference for Nonlinear Conservation Laws,ProCreations,ProCreations/repro-adam-zero-sum-games-ode-dynamics,https://huggingface.co/spaces/ProCreations/repro-adam-zero-sum-games-ode-dynamics,True,8,6,4,0,0,2,,2026-07-28T00:16:42+00:00
WArbqRUsAe,FormulaCode: Evaluating Agentic Optimization on Large Codebases,ProCreations,ProCreations/repro-contextual-rollout-bandits-for-reinforcement-learning-with-verifiable-rewards,https://huggingface.co/spaces/ProCreations/repro-contextual-rollout-bandits-for-reinforcement-learning-with-verifiable-rewards,True,8,6,3,1,0,2,,2026-07-28T00:37:07+00:00
bcN12UkftY,FloorplanQA: A Benchmark for Spatial Reasoning in LLMs using Structured Representations,ProCreations,ProCreations/repro-understanding-generalization-from-embedding-dimension-and-distributional-convergence,https://huggingface.co/spaces/ProCreations/repro-understanding-generalization-from-embedding-dimension-and-distributional-convergence,True,10,6,1,4,0,1,,2026-07-27T09:28:11+00:00
qZVcGlU5lN,Local Covariate Selection for Average Causal Effect Estimation without Pretreatment and Causal Sufficiency Assumptions,snaykey,snaykey/repro-local-covariate-selection,https://huggingface.co/spaces/snaykey/repro-local-covariate-selection,True,8,6,4,0,0,2,,2026-07-27T05:54:22+00:00
DsV89lJ58l,Linear Regression with Unknown Truncation Beyond Gaussian Features,sabaridsnfuji,sabaridsnfuji/repro-linear-regression-with-unknown-truncation-beyond-gaussian-features,https://huggingface.co/spaces/sabaridsnfuji/repro-linear-regression-with-unknown-truncation-beyond-gaussian-features,True,5,6,0,0,5,1,,2026-07-27T03:36:14+00:00
HdhEFfEsoz,Sinkhorn Treatment Effects: A Causal Optimal Transport Measure,tomyimkc,tomyimkc/repro-sinkhorn-treatment-effects-a-causal-optimal-transport-measure,https://huggingface.co/spaces/tomyimkc/repro-sinkhorn-treatment-effects-a-causal-optimal-transport-measure,True,10,6,4,0,2,0,,2026-07-27T02:38:05+00:00
qMI1xD8O3x,Instance-Level Costs for Nuanced Classifier Evaluation,neonforestmist,neonforestmist/repro-instance-level-costs-nuanced-classifier-evaluati,https://huggingface.co/spaces/neonforestmist/repro-instance-level-costs-nuanced-classifier-evaluati,True,0,6,0,0,0,6,,2026-07-27T20:16:11+00:00
FzP6XZGG4d,Human-AI Collaborative Uncertainty Quantification,tomyimkc,tomyimkc/repro-human-ai-collaborative-uncertainty-quantification,https://huggingface.co/spaces/tomyimkc/repro-human-ai-collaborative-uncertainty-quantification,True,10,5,5,0,0,0,,2026-07-26T18:50:28+00:00
qZVcGlU5lN,Local Covariate Selection for Average Causal Effect Estimation without Pretreatment and Causal Sufficiency Assumptions,nstp,nstp/repro-local-covariate-selection-for-average-causal-effect-estimation-without-pretrea,https://huggingface.co/spaces/nstp/repro-local-covariate-selection-for-average-causal-effect-estimation-without-pretrea,True,8,6,2,0,4,0,,2026-07-27T21:51:28+00:00
doy2uIaAYt,Tracing the Persona Circuit: How Large Language Models Encode and Express Character Traits,suehuynh,suehuynh/repro-tracing-the-persona-circuit,https://huggingface.co/spaces/suehuynh/repro-tracing-the-persona-circuit,True,2,2,0,0,2,0,,2026-07-28T13:48:55+00:00
DsV89lJ58l,Linear Regression with Unknown Truncation Beyond Gaussian Features,SabaPivot,SabaPivot/repro-linear-regression-with-unknown-truncation-beyond-gaussian-features,https://huggingface.co/spaces/SabaPivot/repro-linear-regression-with-unknown-truncation-beyond-gaussian-features,True,9,6,3,0,3,0,,2026-07-26T23:27:50+00:00
ugjBMARbyt,"Linear Bandits beyond Inner Product Spaces, the case of Bandit Optimal Transport",SabaPivot,SabaPivot/repro-linear-bandits-beyond-inner-product-spaces-the-case-of-bandit-optimal-transport,https://huggingface.co/spaces/SabaPivot/repro-linear-bandits-beyond-inner-product-spaces-the-case-of-bandit-optimal-transport,True,7,6,0,1,5,0,,2026-07-28T19:10:20+00:00
ZgJlDylia4,Deep Learning for BioImaging: What Are We Really Learning?,abhishekkataria16,abhishekkataria16/claim-ZgJlDylia4-logbook,https://huggingface.co/spaces/abhishekkataria16/claim-ZgJlDylia4-logbook,True,0,3,0,0,0,3,,2026-07-26T13:53:40+00:00
WgrRyHYbo5,Component-Wise Composite Likelihood Distillation for Censored Time-to-Event Data,abhishekkataria16,abhishekkataria16/claim-WgrRyHYbo5-logbook,https://huggingface.co/spaces/abhishekkataria16/claim-WgrRyHYbo5-logbook,True,0,3,0,0,0,3,,2026-07-26T11:27:17+00:00
IalpB5Mzaz,Time-Conditioned Foreseeing: An EHR-Specific Foundation Model for Irregular Dynamics and Calendrical Time,bsenst,bsenst/Time-Conditioned-Foreseeing-An-EHR-Specific-Foundation-Model,https://huggingface.co/spaces/bsenst/Time-Conditioned-Foreseeing-An-EHR-Specific-Foundation-Model,True,3,3,1,0,1,1,,2026-07-27T16:21:03+00:00
3vhn9kVVY5,Quantifying the Generalization Gap in Seizure Detection: A Large-Scale Empirical Benchmark via the SzCORE Challenge,bsenst,bsenst/repro-quantifying-the-generalization-gap-in-seizure-detection,https://huggingface.co/spaces/bsenst/repro-quantifying-the-generalization-gap-in-seizure-detection,True,0,4,0,0,0,4,,2026-07-26T07:52:54+00:00
ugjBMARbyt,"Linear Bandits beyond Inner Product Spaces, the case of Bandit Optimal Transport",Srishti280992,Srishti280992/repro-linear-bandits-beyond-inner-product-spaces-the-case-of-bandit-optimal-transport,https://huggingface.co/spaces/Srishti280992/repro-linear-bandits-beyond-inner-product-spaces-the-case-of-bandit-optimal-transport,True,12,6,3,3,0,0,,2026-07-28T02:25:14+00:00
bSUMVAYoMq,Regime-Adaptive Bayesian Optimization via Dirichlet Process Mixtures of Gaussian Processes,neonforestmist,neonforestmist/repro-regime-adaptive-bayesian-optimization-dirichlet,https://huggingface.co/spaces/neonforestmist/repro-regime-adaptive-bayesian-optimization-dirichlet,True,0,6,0,0,0,6,,2026-07-27T20:07:49+00:00
7j2eMymTTP,Causal-EPIG: Causally Aligned Active CATE Estimation,neonforestmist,neonforestmist/repro-causal-epig-causally-aligned-active-cate-estimat,https://huggingface.co/spaces/neonforestmist/repro-causal-epig-causally-aligned-active-cate-estimat,True,0,6,0,0,0,6,,2026-07-27T20:09:06+00:00
8vkE9kvrXa,The Geometry of Updates: Fisher Alignment at Vocabulary Scale,neonforestmist,neonforestmist/repro-geometry-updates-fisher-alignment-vocabulary-sca,https://huggingface.co/spaces/neonforestmist/repro-geometry-updates-fisher-alignment-vocabulary-sca,True,0,6,0,0,0,6,,2026-07-27T20:10:02+00:00
3IFIedDIoN,Sparse Bayesian Deep Functional Learning with Structured Region Selection,neonforestmist,neonforestmist/repro-sparse-bayesian-deep-functional-learning-structu,https://huggingface.co/spaces/neonforestmist/repro-sparse-bayesian-deep-functional-learning-structu,True,0,6,0,0,0,6,,2026-07-27T20:10:16+00:00
OMdQJQwp26,MedMosaic: A Challenging Large Scale Benchmark of Diverse Medical Audio,bsenst,bsenst/repro-medmosaic-a-challenging-large-scale-benchmark-of-diverse-medical-audio,https://huggingface.co/spaces/bsenst/repro-medmosaic-a-challenging-large-scale-benchmark-of-diverse-medical-audio,True,2,6,1,0,0,5,,2026-07-26T05:47:35+00:00
UflglraWRa,The (Marginal) Value of a Search Ad: An Online Causal Framework for Repeated Second-price Auctions,snaykey,snaykey/repro-spa-binary-feedback,https://huggingface.co/spaces/snaykey/repro-spa-binary-feedback,True,10,5,5,0,0,0,,2026-07-27T11:04:56+00:00
k5xsXvNYQS,Latent Guided Sampling for Combinatorial Optimization,Edd16,Edd16/icml2026-k5xsXvNYQS-repro,https://huggingface.co/spaces/Edd16/icml2026-k5xsXvNYQS-repro,True,2,6,0,0,2,4,,2026-07-28T20:50:12+00:00
vGeNaFHdET,EEG-FM-Bench: A Comprehensive Benchmark for the Systematic Evaluation and Diagnostic Analyses of EEG Foundation Models,wrice,wrice/repro-eeg-fm-bench,https://huggingface.co/spaces/wrice/repro-eeg-fm-bench,True,2,5,0,0,2,3,,2026-07-27T21:41:04+00:00
djASMk0bzO,Richer Bayesian Last Layers with Subsampled NTK Features,michaldobiezynski,michaldobiezynski/repro-richer-bayesian-last-layers-with-subsampled-ntk-features,https://huggingface.co/spaces/michaldobiezynski/repro-richer-bayesian-last-layers-with-subsampled-ntk-features,True,11,6,3,2,1,0,,2026-07-25T22:47:45+00:00
cGOX9bOWnj,Dynamic Regret via Discounted-to-Dynamic Reduction with Applications to Curved Losses and Adam Optimizer,DineshAI,DineshAI/cGOX9bOWnj,https://huggingface.co/spaces/DineshAI/cGOX9bOWnj,True,6,5,3,0,0,2,,2026-07-28T04:47:19+00:00
JRsQDPWFCC,PPI Candidate Ranking: Large-Scale Evaluation of a Domain Knowledge–Guided Pipeline,bsenst,bsenst/repro-ppi-candidate-ranking-large-scale-evaluation-of-a-domain-knowledge-guided-pipeline,https://huggingface.co/spaces/bsenst/repro-ppi-candidate-ranking-large-scale-evaluation-of-a-domain-knowledge-guided-pipeline,True,2,2,0,0,2,0,,2026-07-25T21:46:07+00:00
hXO2OP0T4w,Anytime Detection of Strategic Deviations in Multi-Agent Systems,michaldobiezynski,michaldobiezynski/repro-anytime-detection-of-strategic-deviations-in-multi-agent-systems,https://huggingface.co/spaces/michaldobiezynski/repro-anytime-detection-of-strategic-deviations-in-multi-agent-systems,True,10,6,4,1,0,1,,2026-07-25T21:40:56+00:00
hXO2OP0T4w,Anytime Detection of Strategic Deviations in Multi-Agent Systems,JIghomena,JIghomena/icml26-Eqm5VEaAom,https://huggingface.co/spaces/JIghomena/icml26-Eqm5VEaAom,True,0,6,0,0,0,6,,2026-07-26T02:08:06+00:00
4CwO8At8Hw,"The Catastrophic Failure of *the* k-Means Algorithm in High Dimensions, and How Hartigan's Algorithm Avoids It",JIghomena,JIghomena/icml26-wRVTDcEMv8,https://huggingface.co/spaces/JIghomena/icml26-wRVTDcEMv8,True,0,6,0,0,0,6,,2026-07-26T02:06:55+00:00
KPsrOYaU79,Salus: Strategic Diagnostic Testing for Complex Diagnosis via Multi-Agent Reinforcement Learning,bsenst,bsenst/repro-salus-strategic-diagnostic-testing-for-complex-diagnosis-via-multi-agent-reinforcement-lea,https://huggingface.co/spaces/bsenst/repro-salus-strategic-diagnostic-testing-for-complex-diagnosis-via-multi-agent-reinforcement-lea,True,1,3,0,0,1,2,,2026-07-25T21:02:52+00:00
T7y2wavrFM,The Double Dilemma in Multi-Task Radiology Report Generation: A Gradient Dynamics Analysis and Solution,bsenst,bsenst/repro-the-double-dilemma-in-multi-task-radiology-report-generation,https://huggingface.co/spaces/bsenst/repro-the-double-dilemma-in-multi-task-radiology-report-generation,True,1,5,0,0,1,4,,2026-07-25T21:02:44+00:00
cGOX9bOWnj,Dynamic Regret via Discounted-to-Dynamic Reduction with Applications to Curved Losses and Adam Optimizer,tomyimkc,tomyimkc/repro-dynamic-regret-via-discounted-to-dynamic-reduction-with-applications-to-curved-losses-and,https://huggingface.co/spaces/tomyimkc/repro-dynamic-regret-via-discounted-to-dynamic-reduction-with-applications-to-curved-losses-and,True,8,5,3,0,2,0,,2026-07-25T18:15:29+00:00
qj4EnIvNU4,HEARTS: Benchmarking LLM Reasoning on Health Time Series,bsenst,bsenst/hearts-reproduction,https://huggingface.co/spaces/bsenst/hearts-reproduction,True,4,5,1,1,0,3,,2026-07-25T18:54:51+00:00
FCVPVqRLDJ,Evidential Reasoning Advances Interpretable Real-World Disease Screening,bsenst,bsenst/repro-evidential-reasoning-advances-interpretable-real-world-disease-screening,https://huggingface.co/spaces/bsenst/repro-evidential-reasoning-advances-interpretable-real-world-disease-screening,True,0,6,0,0,0,6,,2026-07-25T16:41:45+00:00
HQTsYta4XX,Near-Optimal Dynamic Matching via Coarsening with Application to Heart Transplantation,nstp,nstp/repro-near-optimal-dynamic-matching-via-coarsening-with-application-to-heart-transpl,https://huggingface.co/spaces/nstp/repro-near-optimal-dynamic-matching-via-coarsening-with-application-to-heart-transpl,True,9,5,4,0,1,0,,2026-07-25T16:24:59+00:00
otBTuq5AKB,How (Not) to Hybridize Neural and Mechanistic Models for Epidemiological Forecasting,bsenst,bsenst/repro-how-not-to-hybridize-neural-and-mechanistic-models-for-epidemiological-forecasting,https://huggingface.co/spaces/bsenst/repro-how-not-to-hybridize-neural-and-mechanistic-models-for-epidemiological-forecasting,True,4,5,1,0,2,2,,2026-07-25T16:02:10+00:00
bMsBArF8MT,CLINIC : Evaluating Multilingual Trustworthiness in Language Models for Healthcare,bsenst,bsenst/repro-clinic,https://huggingface.co/spaces/bsenst/repro-clinic,True,0,5,0,0,0,5,,2026-07-25T15:40:50+00:00
oB7gZX7MKP,PathwayLLM: Explainable Clinical Trajectory Modeling with Structured Pathways for Sepsis Prediction,bsenst,bsenst/repro-pathwayllm-explainable-clinical-trajectory-modeling-with-structured-pathways-for-sepsis-pr,https://huggingface.co/spaces/bsenst/repro-pathwayllm-explainable-clinical-trajectory-modeling-with-structured-pathways-for-sepsis-pr,True,0,3,0,0,0,3,,2026-07-25T15:11:04+00:00
AY7L7acRtD,Bridging Dynamics and Data: A Unified Diffusion Framework for Mechanistically-Informed Epidemic Forecasting,bsenst,bsenst/repro-bridging-dynamics-and-data-a-unified-diffusion-framework-for-mechanistically-informed-epid,https://huggingface.co/spaces/bsenst/repro-bridging-dynamics-and-data-a-unified-diffusion-framework-for-mechanistically-informed-epid,True,2,3,1,0,0,2,,2026-07-25T15:02:56+00:00
